NO,ITEM CODE,ITEM NAME,UOM,GROUP,GUD1,GUD2,GUD3,GUD4,GUD5,GUD6,GUD7,DRY,BUTCHER,KIMA3,INVENTORY
2304,FFR02.FFW.403,Pnt Frz Blackcurrant Whole 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2305,FFR02.FFW.404,Pnt Frz Fruit Whole 1Kg - Cranberries,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2306,FFR02.FFW.407,Pnt Frozen Morello Cherries 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2307,FFR02.FFW.408,Pnt Frz Fruit Whole 1Kg - Mix Red Fruits,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2308,FFR02.FFW.409,Pnt Frozen Plum 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2309,FFR02.FFW.412,Pnt Frz Fruit Whole 1Kg - Red Currant,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2310,FFR02.FFW.416,Frozen Chesnut 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2311,FFR02.FFW.417,Pnt Chesnut Whole 500Gr,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2312,FFR02.FFW.418,Pnt Cooked Chesnut 200Gr,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2313,FFR02.FFW.503,Pnt Frz Fruit Whole 10Kg - Blackcurrant,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2314,FFR02.FFW.508,Pnt Frz Fruit Whole 10Kg - Raspberries,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2315,FFR02.FFW.509,Pnt Frz Fruit Whole 10Kg - Red Currant,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2316,FFR02.FFW.512,Pnt Frz Fruit Whole 10Kg - Mor. Cherries,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2317,FFR02.FFW.513,Pnt Frz Fruit Whole 10Kg - Rhubarb,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2318,FFR02.FFW.701,Pnt Frz Fruit 300Gr - Raspberry,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2319,FFR02.FFW.702,Pnt Frz Fruit 300Gr - Morello Cherries,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2320,FFR02.FFW.703,Pnt Frz Fruit 300Gr - Redcurrant,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2321,FFR02.FFW.707,Pnt Frz Fruit 300Gr - Blackcurrant,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2322,FFR2BRE001,P.Breton Unsalted Butter Prtion 10Gr/Pcs,PCK,DAIRY PRODUCTS,0,0,0,0,0,0,0,0,0,0,0
2323,FFR2FFP104,Frz Blackcurrant 1 Kg (Ponthier),KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2324,FFR2FFP117,Frz Raspberries Villamette 1Kg(Ponthier),KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2325,FFR2FFP463,Ponthier Raspberry Pure 1 Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2326,FFR2FFP468,Frz Red Currant 1 Kg (Ponthier),KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2327,FID1TTI113,Prosteak Shitake Mushroom Sauce,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2328,FID1TTI153,Prosteak Bulgogi Sauce,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2329,FID3CIA001,Ciao Red Kidney Beans 24X400Gr,CAN,GROCERY,0,0,0,0,0,0,0,79,0,0,79
2330,FID3FID002,My Taste BBQ Sauce 20 X 500Gr,CTN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2331,FID3FID003,My Taste Mushroom Sauce 20 X 500Gr,CTN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2332,FID3FID004,My Taste Teriyaki Sauce 20 X 500Gr,CTN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2333,FID3FID005,My Taste Black Pepper Sauce 20 X 500Gr,CTN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2334,FID3HZI001,Heinz Chili 24x320gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2335,FID3HZI002,Heinz Tomato Ketchup 24x300gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2336,FID3KEW001,Kewpie CRS Ala Japanese Tartar 6X1KG,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,16,0,0,16
2337,FID3KEW002,Kewpie Banana Chocolate Spread 24x150gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2338,FID3KEW003,Kewpie Vanilla Strawberry Spread 24x150gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2339,FID3KEW004,Kewpie Coffee Chocolate Spread 24x150gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2340,FID3KEW007,Kewpie Vanilla Matcha Spread 24x150gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
